Word_HTML_Field,Pages,Category_Prefix,Suggested_Registry_Field,Match_Confidence,Notes
SU1_Map,4,SU1,su1-map,No Match,Not found in registry
SU1_Summary,4,SU1,su1-summary,No Match,Not found in registry
Site_Streets,4,Site,site-streets,No Match,Not found in registry
Site_Streets1,4,Site,site-streets1,No Match,Not found in registry
Site_Streets2,4,Site,site-streets2,No Match,Not found in registry
Site_Summary,4,Site,site-summary,No Match,Not found in registry
Subject_Access,4,Subject,subject-access,No Match,Not found in registry
Subject_AdjacentE,4,Subject,subject-adjacente,No Match,Not found in registry
Subject_AdjacentN,4,Subject,subject-adjacentn,No Match,Not found in registry
Subject_AdjacentS,4,Subject,subject-adjacents,No Match,Not found in registry
Subject_AdjacentW,4,Subject,subject-adjacentw,No Match,Not found in registry
Subject_Ceilings,4,Subject,subject-ceilings,No Match,Not found in registry
Subject_City,"1,3,4",Subject,subject-city,No Match,Not found in registry
Subject_Condition,4,Subject,subject-condition,Exact Match (case-insensitive),Direct mapping available
Subject_DoorsWindows,4,Subject,subject-doorswindows,No Match,Not found in registry
Subject_Easements,4,Subject,subject-easements,No Match,Not found in registry
Subject_EconCharacteristics,"1,3,4",Subject,subject-econcharacteristics,No Match,Not found in registry
Subject_Electrical,4,Subject,subject-electrical,No Match,Not found in registry
Subject_Elevator,4,Subject,subject-elevator,No Match,Not found in registry
Subject_Exposure,4,Subject,subject-exposure,No Match,Not found in registry
Subject_ExposureTime,3,Subject,subject-exposuretime,No Match,Not found in registry
Subject_Fire,4,Subject,subject-fire,No Match,Not found in registry
Subject_Floor,4,Subject,subject-floor,No Match,Not found in registry
Subject_Foundation,4,Subject,subject-foundation,No Match,Not found in registry
Subject_FunctionalDesign,4,Subject,subject-functionaldesign,No Match,Not found in registry
Subject_HBUImproved,4,Subject,subject-hbuimproved,No Match,Not found in registry
Subject_HBUVacant,4,Subject,subject-hbuvacant,No Match,Not found in registry
Subject_Hazerdous,4,Subject,subject-hazerdous,No Match,Not found in registry
Subject_HeatingAC,4,Subject,subject-heatingac,No Match,Not found in registry
Subject_Insulation,4,Subject,subject-insulation,No Match,Not found in registry
Subject_InteriorBuildout,4,Subject,subject-interiorbuildout,No Match,Not found in registry
Subject_IntroComment,"1,3,4",Subject,subject-introcomment,No Match,Not found in registry
Subject_Landscaping,4,Subject,subject-landscaping,No Match,Not found in registry
Subject_Laundry,4,Subject,subject-laundry,No Match,Not found in registry
Subject_Lighting,4,Subject,subject-lighting,No Match,Not found in registry
Subject_Market,3,Subject,subject-market,No Match,Not found in registry
Subject_Occupancy,4,Subject,subject-occupancy,No Match,Not found in registry
Subject_Owner,3,Subject,subject-owner,No Match,Not found in registry
Subject_Parking,4,Subject,subject-parking,Exact Match (case-insensitive),Direct mapping available
Subject_PermittedUses,4,Subject,subject-permitteduses,No Match,Not found in registry
Subject_Photo,1,Subject,subject-photo,No Match,Not found in registry
Subject_Plumbing,4,Subject,subject-plumbing,No Match,Not found in registry
Subject_Primary,"1,4",Subject,subject-primary,No Match,Not found in registry
Subject_ProjectAmenities,4,Subject,subject-projectamenities,No Match,Not found in registry
Subject_PropertyName,1,Subject,subject-propertyname,No Match,Not found in registry
Subject_Quality,4,Subject,subject-quality,No Match,Not found in registry
